index,title,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross,combined
167,Idi i smotri ,"Drama; 
War",17 October 1985,8.2,ElemKlimov,Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas;Jüri Lumiste;Viktor Lorents;Kazimir Rabetsky;Evgeniy Tilicheev;Aleksandr Berda;G. Velts;V. Vasilyev;Igor Gnevashev;Vasiliy Domrachyov;G. Yelkin;Evgeniy Kryzhanovskiy,,142.0,,"Drama; 
War 8.2 ElemKlimov Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas;Jüri Lumiste;Viktor Lorents;Kazimir Rabetsky;Evgeniy Tilicheev;Aleksandr Berda;G. Velts;V. Vasilyev;Igor Gnevashev;Vasiliy Domrachyov;G. Yelkin;Evgeniy Kryzhanovskiy"
168,The Big Lebowski ,"Comedy; 
Crime",6 March 1998,8.1,"EthanCoen,JoelCoen",Jeff Bridges;John Goodman;Julianne Moore;Steve Buscemi;David Huddleston;Philip Seymour Hoffman;Tara Reid;Philip Moon;Mark Pellegrino;Peter Stormare;Flea;Torsten Voges;Jimmie Dale Gilmore;Jack Kehler;John Turturro,15000000.0,117.0,46189568.0,"Comedy; 
Crime 8.1 EthanCoen,JoelCoen Jeff Bridges;John Goodman;Julianne Moore;Steve Buscemi;David Huddleston;Philip Seymour Hoffman;Tara Reid;Philip Moon;Mark Pellegrino;Peter Stormare;Flea;Torsten Voges;Jimmie Dale Gilmore;Jack Kehler;John Turturro"
169,Sherlock Jr. ,"Action; 
Comedy; 
Romance",11 May 1924,8.2,BusterKeaton,Buster Keaton;Kathryn McGuire;Joe Keaton;Erwin Connelly;Ward Crane,,45.0,,"Action; 
Comedy; 
Romance 8.2 BusterKeaton Buster Keaton;Kathryn McGuire;Joe Keaton;Erwin Connelly;Ward Crane"
170,Shutter Island ,"Mystery; 
Thriller",19 February 2010,8.1,MartinScorsese,Leonardo DiCaprio;Mark Ruffalo;Ben Kingsley;Max von Sydow;Michelle Williams;Emily Mortimer;Patricia Clarkson;Jackie Earle Haley;Ted Levine;John Carroll Lynch;Elias Koteas;Robin Bartlett;Christopher Denham;Nellie Sciutto;Joseph Sikora,80000000.0,138.0,294804195.0,"Mystery; 
Thriller 8.1 MartinScorsese Leonardo DiCaprio;Mark Ruffalo;Ben Kingsley;Max von Sydow;Michelle Williams;Emily Mortimer;Patricia Clarkson;Jackie Earle Haley;Ted Levine;John Carroll Lynch;Elias Koteas;Robin Bartlett;Christopher Denham;Nellie Sciutto;Joseph Sikora"
171,Kill Bill: Vol. 1 ,"Action; 
Crime; 
Thriller",10 October 2003,8.1,QuentinTarantino,Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine;Michael Madsen;Julie Dreyfus;Chiaki Kuriyama;Shin'ichi Chiba;Chia-Hui Liu;Michael Parks;Michael Bowen;Jun Kunimura;Kenji Ohba;Yuki Kazamatsuri,30000000.0,111.0,180949045.0,"Action; 
Crime; 
Thriller 8.1 QuentinTarantino Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine;Michael Madsen;Julie Dreyfus;Chiaki Kuriyama;Shin'ichi Chiba;Chia-Hui Liu;Michael Parks;Michael Bowen;Jun Kunimura;Kenji Ohba;Yuki Kazamatsuri"
172,Cool Hand Luke ,"Crime; 
Drama",1 November 1967,8.1,StuartRosenberg,Paul Newman;George Kennedy;J.D. Cannon;Lou Antonio;Robert Drivas;Strother Martin;Jo Van Fleet;Clifton James;Morgan Woodward;Luke Askew;Marc Cavell;Richard Davalos;Robert Donner;Warren Finnerty;Dennis Hopper,3200000.0,126.0,16217773.0,"Crime; 
Drama 8.1 StuartRosenberg Paul Newman;George Kennedy;J.D. Cannon;Lou Antonio;Robert Drivas;Strother Martin;Jo Van Fleet;Clifton James;Morgan Woodward;Luke Askew;Marc Cavell;Richard Davalos;Robert Donner;Warren Finnerty;Dennis Hopper"
173,Rebecca ,"Drama; 
Mystery; 
Romance",12 April 1940,8.1,AlfredHitchcock,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson;Nigel Bruce;Reginald Denny;C. Aubrey Smith;Gladys Cooper;Florence Bates;Melville Cooper;Leo G. Carroll;Leonard Carey;Lumsden Hare;Edward Fielding;Philip Winter,1288000.0,130.0,7592465.0,"Drama; 
Mystery; 
Romance 8.1 AlfredHitchcock Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson;Nigel Bruce;Reginald Denny;C. Aubrey Smith;Gladys Cooper;Florence Bates;Melville Cooper;Leo G. Carroll;Leonard Carey;Lumsden Hare;Edward Fielding;Philip Winter"
174,Tôkyô monogatari ,Drama,3 November 1953,8.2,YasujirôOzu,Chishû Ryû;Chieko Higashiyama;Setsuko Hara;Haruko Sugimura;Sô Yamamura;Kuniko Miyake;Kyôko Kagawa;Eijirô Tôno;Nobuo Nakamura;Shirô Ôsaka;Hisao Toake;Teruko Nagaoka;Mutsuko Sakura;Toyo Takahashi;Tôru Abe,,136.0,,Drama 8.2 YasujirôOzu Chishû Ryû;Chieko Higashiyama;Setsuko Hara;Haruko Sugimura;Sô Yamamura;Kuniko Miyake;Kyôko Kagawa;Eijirô Tôno;Nobuo Nakamura;Shirô Ôsaka;Hisao Toake;Teruko Nagaoka;Mutsuko Sakura;Toyo Takahashi;Tôru Abe
175,Mary and Max ,,9 April 2009,8.1,AdamElliot,Toni Collette;Philip Seymour Hoffman;Barry Humphries;Eric Bana;Bethany Whitmore;Renée Geyer;Ian 'Molly' Meldrum;Julie Forsyth;John Flaus;Christopher Massey;Shaun Patten;Carolyn Shakespeare-Allen;Leanne Smith,,92.0,1739445.0, 8.1 AdamElliot Toni Collette;Philip Seymour Hoffman;Barry Humphries;Eric Bana;Bethany Whitmore;Renée Geyer;Ian 'Molly' Meldrum;Julie Forsyth;John Flaus;Christopher Massey;Shaun Patten;Carolyn Shakespeare-Allen;Leanne Smith
176,Roma ,Drama,21 November 2018,8.2,AlfonsoCuarón,Yalitza Aparicio;Marina de Tavira;Diego Cortina Autrey;Carlos Peralta;Marco Graf;Daniela Demesa;Nancy García García;Verónica García;Andy Cortés;Fernando Grediaga;Jorge Antonio Guerrero;José Manuel Guerrero Mendoza;Latin Lover;Zarela Lizbeth Chinolla Arellano;José Luis López Gómez,,135.0,,Drama 8.2 AlfonsoCuarón Yalitza Aparicio;Marina de Tavira;Diego Cortina Autrey;Carlos Peralta;Marco Graf;Daniela Demesa;Nancy García García;Verónica García;Andy Cortés;Fernando Grediaga;Jorge Antonio Guerrero;José Manuel Guerrero Mendoza;Latin Lover;Zarela Lizbeth Chinolla Arellano;José Luis López Gómez
177,Hacksaw Ridge ,,4 November 2016,8.1,MelGibson,Andrew Garfield;Richard Pyros;Jacob Warner;Milo Gibson;Darcy Bryce;Roman Guerriero;James Lugton;Kasia Stelmach;Hugo Weaving;Rachel Griffiths;Jarin Towney;Tim McGarry;Tyler Coppin;Teresa Palmer;Richard Platt,40000000.0,139.0,175302354.0, 8.1 MelGibson Andrew Garfield;Richard Pyros;Jacob Warner;Milo Gibson;Darcy Bryce;Roman Guerriero;James Lugton;Kasia Stelmach;Hugo Weaving;Rachel Griffiths;Jarin Towney;Tim McGarry;Tyler Coppin;Teresa Palmer;Richard Platt
178,Gone Girl ,"Crime; 
Drama; 
Mystery",3 October 2014,8.1,DavidFincher,Ben Affleck;Rosamund Pike;Neil Patrick Harris;Tyler Perry;Carrie Coon;Kim Dickens;Patrick Fugit;David Clennon;Lisa Banes;Missi Pyle;Emily Ratajkowski;Casey Wilson;Lola Kirke;Boyd Holbrook;Sela Ward,61000000.0,149.0,369330363.0,"Crime; 
Drama; 
Mystery 8.1 DavidFincher Ben Affleck;Rosamund Pike;Neil Patrick Harris;Tyler Perry;Carrie Coon;Kim Dickens;Patrick Fugit;David Clennon;Lisa Banes;Missi Pyle;Emily Ratajkowski;Casey Wilson;Lola Kirke;Boyd Holbrook;Sela Ward"
179,How to Train Your Dragon ,,26 March 2010,8.1,"ChrisSanders,DeanDeBlois",Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;Jonah Hill;Christopher Mintz-Plasse;T.J. Miller;Kristen Wiig;Robin Atkin Downes;Philip McGrade;Kieron Elliott;Ashley Jensen;David Tennant,165000000.0,98.0,494878759.0," 8.1 ChrisSanders,DeanDeBlois Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;Jonah Hill;Christopher Mintz-Plasse;T.J. Miller;Kristen Wiig;Robin Atkin Downes;Philip McGrade;Kieron Elliott;Ashley Jensen;David Tennant"
180,Sunrise: A Song of Two Humans ,"Drama; 
Romance",4 November 1927,8.2,F.W.Murnau,George O'Brien;Janet Gaynor;Margaret Livingston;Bodil Rosing;J. Farrell MacDonald;Ralph Sipperly;Jane Winton;Arthur Housman;Eddie Boland;Vondell Darr,,94.0,,"Drama; 
Romance 8.2 F.W.Murnau George O'Brien;Janet Gaynor;Margaret Livingston;Bodil Rosing;J. Farrell MacDonald;Ralph Sipperly;Jane Winton;Arthur Housman;Eddie Boland;Vondell Darr"
181,Relatos salvajes ,"Comedy; 
Drama; 
Thriller",21 August 2014,8.1,DamiánSzifron,Darío Grandinetti;María Marull;Mónica Villa;Diego Starosta;Marcelo Frasca;Lucila Mangone;María Laura Caccamo;Carlos Alberto Vavassori;Pablo Machado;Horacio Vay;Javier Pedersoli;Héctor Drachtman;María Rosa López Ottonello;Rita Cortese;Julieta Zylberberg,3300000.0,122.0,36353750.0,"Comedy; 
Drama; 
Thriller 8.1 DamiánSzifron Darío Grandinetti;María Marull;Mónica Villa;Diego Starosta;Marcelo Frasca;Lucila Mangone;María Laura Caccamo;Carlos Alberto Vavassori;Pablo Machado;Horacio Vay;Javier Pedersoli;Héctor Drachtman;María Rosa López Ottonello;Rita Cortese;Julieta Zylberberg"
182,Jurassic Park ,"Adventure; 
Sci-Fi; 
Thriller",11 June 1993,8.1,StevenSpielberg,Sam Neill;Laura Dern;Jeff Goldblum;Richard Attenborough;Bob Peck;Martin Ferrero;BD Wong;Joseph Mazzello;Ariana Richards;Samuel L. Jackson;Wayne Knight;Gerald R. Molen;Miguel Sandoval;Cameron Thor;Christopher John Fields,63000000.0,127.0,1029153882.0,"Adventure; 
Sci-Fi; 
Thriller 8.1 StevenSpielberg Sam Neill;Laura Dern;Jeff Goldblum;Richard Attenborough;Bob Peck;Martin Ferrero;BD Wong;Joseph Mazzello;Ariana Richards;Samuel L. Jackson;Wayne Knight;Gerald R. Molen;Miguel Sandoval;Cameron Thor;Christopher John Fields"
183,Into the Wild ,"Adventure; 
Biography; 
Drama",28 September 2007,8.1,SeanPenn,Emile Hirsch;Marcia Gay Harden;William Hurt;Jena Malone;Brian H. Dierker;Catherine Keener;Vince Vaughn;Kristen Stewart;Hal Holbrook;Jim Gallien;James O'Neill;Malinda McCollum;Paul Knauls;Zach Galifianakis;Craig Mutsch,15000000.0,148.0,56255142.0,"Adventure; 
Biography; 
Drama 8.1 SeanPenn Emile Hirsch;Marcia Gay Harden;William Hurt;Jena Malone;Brian H. Dierker;Catherine Keener;Vince Vaughn;Kristen Stewart;Hal Holbrook;Jim Gallien;James O'Neill;Malinda McCollum;Paul Knauls;Zach Galifianakis;Craig Mutsch"
184,Life of Brian ,Comedy,8 November 1979,8.1,TerryJones,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones;Michael Palin;Terence Bayler;Carol Cleveland;Kenneth Colley;Neil Innes;Charles McKeown;John Young;Gwen Taylor;Sue Jones-Davies;Peter Brett,4000000.0,94.0,36045115.0,Comedy 8.1 TerryJones Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones;Michael Palin;Terence Bayler;Carol Cleveland;Kenneth Colley;Neil Innes;Charles McKeown;John Young;Gwen Taylor;Sue Jones-Davies;Peter Brett
185,In the Name of the Father ,,21 January 1994,8.1,JimSheridan,Alison Crosbie;Daniel Day-Lewis;Philip King;Emma Thompson;Nye Heron;Anthony Brophy;Frankie McCafferty;Paul Warriner;Julian Walsh;Stuart Wolfenden;Jo Connor;Karen Carlisle;Seamus Moran;Billy Byrne;Maureen McBride,13000000.0,133.0,40700000.0, 8.1 JimSheridan Alison Crosbie;Daniel Day-Lewis;Philip King;Emma Thompson;Nye Heron;Anthony Brophy;Frankie McCafferty;Paul Warriner;Julian Walsh;Stuart Wolfenden;Jo Connor;Karen Carlisle;Seamus Moran;Billy Byrne;Maureen McBride
186,The Truman Show ,"Comedy; 
Drama; 
Sci-Fi",5 June 1998,8.1,PeterWeir,Jim Carrey;Laura Linney;Noah Emmerich;Natascha McElhone;Holland Taylor;Brian Delate;Blair Slater;Peter Krause;Heidi Schanz;Ron Taylor;Don Taylor;Ted Raymond;Judy Clayton;Fritz Dominique;Angel Schmiedt,60000000.0,103.0,264118201.0,"Comedy; 
Drama; 
Sci-Fi 8.1 PeterWeir Jim Carrey;Laura Linney;Noah Emmerich;Natascha McElhone;Holland Taylor;Brian Delate;Blair Slater;Peter Krause;Heidi Schanz;Ron Taylor;Don Taylor;Ted Raymond;Judy Clayton;Fritz Dominique;Angel Schmiedt"
187,The Grand Budapest Hotel ,"Adventure; 
Comedy; 
Drama",6 March 2014,8.1,WesAnderson,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric;Adrien Brody;Willem Dafoe;Jeff Goldblum;Harvey Keitel;Jude Law;Bill Murray;Edward Norton;Saoirse Ronan;Jason Schwartzman;Léa Seydoux;Tilda Swinton;Tom Wilkinson,25000000.0,99.0,174600318.0,"Adventure; 
Comedy; 
Drama 8.1 WesAnderson Ralph Fiennes;F. Murray Abraham;Mathieu Amalric;Adrien Brody;Willem Dafoe;Jeff Goldblum;Harvey Keitel;Jude Law;Bill Murray;Edward Norton;Saoirse Ronan;Jason Schwartzman;Léa Seydoux;Tilda Swinton;Tom Wilkinson"
188,It Happened One Night ,"Comedy; 
Romance",22 February 1934,8.1,FrankCapra,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns;Jameson Thomas;Alan Hale;Arthur Hoyt;Blanche Friderici;Charles C. Wilson,325000.0,105.0,,"Comedy; 
Romance 8.1 FrankCapra Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns;Jameson Thomas;Alan Hale;Arthur Hoyt;Blanche Friderici;Charles C. Wilson"
189,Platoon ,"Drama; 
War",6 February 1987,8.1,OliverStone,Tom Berenger;Keith David;Willem Dafoe;Forest Whitaker;Francesco Quinn;Kevin Dillon;John C. McGinley;Reggie Johnson;Mark Moses;Corey Glover;Johnny Depp;Chris Pedersen;Bob Orwig;Corkey Ford;David Neidorf,6000000.0,120.0,,"Drama; 
War 8.1 OliverStone Tom Berenger;Keith David;Willem Dafoe;Forest Whitaker;Francesco Quinn;Kevin Dillon;John C. McGinley;Reggie Johnson;Mark Moses;Corey Glover;Johnny Depp;Chris Pedersen;Bob Orwig;Corkey Ford;David Neidorf"
190,Stand by Me ,"Adventure; 
Drama",26 November 1986,8.1,RobReiner,Wil Wheaton;River Phoenix;Corey Feldman;Jerry O'Connell;Kiefer Sutherland;Casey Siemaszko;Gary Riley;Bradley Gregg;Jason Oliver;Marshall Bell;Frances Lee McCain;Bruce Kirby;William Bronder;Scott Beach;Richard Dreyfuss,8000000.0,89.0,,"Adventure; 
Drama 8.1 RobReiner Wil Wheaton;River Phoenix;Corey Feldman;Jerry O'Connell;Kiefer Sutherland;Casey Siemaszko;Gary Riley;Bradley Gregg;Jason Oliver;Marshall Bell;Frances Lee McCain;Bruce Kirby;William Bronder;Scott Beach;Richard Dreyfuss"
191,Eskiya ,"Crime; 
Drama; 
Thriller",29 November 1996,8.3,YavuzTurgul,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Yesim Salkim;Kamran Usluer;Ülkü Duru;Özkan Ugur;Necdet Mahfi Ayral;Kayhan Yildizoglu;Güven Hokna;Kemal Inci;Melih Çardak;Settar Tanriögen;Celal Perk;Ümit Çirak,,128.0,1979000.0,"Crime; 
Drama; 
Thriller 8.3 YavuzTurgul Sener Sen;Ugur Yücel;Sermin Hürmeriç;Yesim Salkim;Kamran Usluer;Ülkü Duru;Özkan Ugur;Necdet Mahfi Ayral;Kayhan Yildizoglu;Güven Hokna;Kemal Inci;Melih Çardak;Settar Tanriögen;Celal Perk;Ümit Çirak"
192,Network ,Drama,27 November 1976,8.1,SidneyLumet,Faye Dunaway;William Holden;Peter Finch;Robert Duvall;Wesley Addy;Ned Beatty;Arthur Burghardt;Bill Burrows;John Carpenter;Jordan Charney;Kathy Cronkite;Ed Crowley;Jerome Dempsey;Conchata Ferrell;Gene Gross,,121.0,,Drama 8.1 SidneyLumet Faye Dunaway;William Holden;Peter Finch;Robert Duvall;Wesley Addy;Ned Beatty;Arthur Burghardt;Bill Burrows;John Carpenter;Jordan Charney;Kathy Cronkite;Ed Crowley;Jerome Dempsey;Conchata Ferrell;Gene Gross
193,Stalker ,"Drama; 
Sci-Fi",17 April 1980,8.1,AndreiTarkovsky,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko;Natalya Abramova;Faime Jurno;E. Kostin;Raymo Rendi,,162.0,,"Drama; 
Sci-Fi 8.1 AndreiTarkovsky Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko;Natalya Abramova;Faime Jurno;E. Kostin;Raymo Rendi"
194,Persona ,"Drama; 
Thriller",18 October 1966,8.1,IngmarBergman,Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand,,85.0,,"Drama; 
Thriller 8.1 IngmarBergman Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand"
195,Salinui chueok ,"Action; 
Crime; 
Drama",2 May 2003,8.1,Joon-hoBong,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim;Jae-ho Song;Hee-Bong Byun;Seo-hie Ko;No-shik Park;Hae-il Park;Mi-seon Jeon;Young-hwa Seo;Bong-gi Baek;Hyeon-gi Choi;Jong-ryol Choi;Deok-jae Jo;Moon-ee Jo,2800000.0,131.0,,"Action; 
Crime; 
Drama 8.1 Joon-hoBong Kang-ho Song;Sang-kyung Kim;Roe-ha Kim;Jae-ho Song;Hee-Bong Byun;Seo-hie Ko;No-shik Park;Hae-il Park;Mi-seon Jeon;Young-hwa Seo;Bong-gi Baek;Hyeon-gi Choi;Jong-ryol Choi;Deok-jae Jo;Moon-ee Jo"
196,Ben-Hur ,"Adventure; 
Drama; 
History",29 January 1960,8.1,WilliamWyler,Charlton Heston;Jack Hawkins;Haya Harareet;Stephen Boyd;Hugh Griffith;Martha Scott;Cathy O'Donnell;Sam Jaffe;Finlay Currie;Frank Thring;Terence Longdon;George Relph;André Morell,15900000.0,212.0,196200000.0,"Adventure; 
Drama; 
History 8.1 WilliamWyler Charlton Heston;Jack Hawkins;Haya Harareet;Stephen Boyd;Hugh Griffith;Martha Scott;Cathy O'Donnell;Sam Jaffe;Finlay Currie;Frank Thring;Terence Longdon;George Relph;André Morell"
197,Hotel Rwanda ,,4 March 2005,8.1,TerryGeorge,Don Cheadle;Xolani Mali;Desmond Dube;Hakeem Kae-Kazim;Tony Kgoroge;Rosie Motene;Neil McCarthy;Mabutho 'Kid' Sithole;Nick Nolte;Fana Mokoena;Jeremiah Ndlovu;Sophie Okonedo;Lebo Mashile;Antonio David Lyons;Leleti Khumalo,17500000.0,121.0,36532987.0, 8.1 TerryGeorge Don Cheadle;Xolani Mali;Desmond Dube;Hakeem Kae-Kazim;Tony Kgoroge;Rosie Motene;Neil McCarthy;Mabutho 'Kid' Sithole;Nick Nolte;Fana Mokoena;Jeremiah Ndlovu;Sophie Okonedo;Lebo Mashile;Antonio David Lyons;Leleti Khumalo
198,12 Years a Slave ,,8 November 2013,8.1,SteveMcQueen,Chiwetel Ejiofor;Dwight Henry;Dickie Gravois;Bryan Batt;Ashley Dyke;Kelsey Scott;Quvenzhané Wallis;Cameron Zeigler;Tony Bentley;Scoot McNairy;Taran Killam;Christopher Berry;Bill Camp;Mister Mackey Jr.;Chris Chalk,20000000.0,134.0,187733202.0, 8.1 SteveMcQueen Chiwetel Ejiofor;Dwight Henry;Dickie Gravois;Bryan Batt;Ashley Dyke;Kelsey Scott;Quvenzhané Wallis;Cameron Zeigler;Tony Bentley;Scoot McNairy;Taran Killam;Christopher Berry;Bill Camp;Mister Mackey Jr.;Chris Chalk
199,Million Dollar Baby ,"Drama; 
Sport",28 January 2005,8.1,ClintEastwood,Clint Eastwood;Hilary Swank;Morgan Freeman;Jay Baruchel;Mike Colter;Lucia Rijker;Brían F. O'Byrne;Anthony Mackie;Margo Martindale;Riki Lindhome;Michael Peña;Benito Martinez;Bruce MacVittie;David Powledge;Joe D'Angerio,30000000.0,132.0,216763646.0,"Drama; 
Sport 8.1 ClintEastwood Clint Eastwood;Hilary Swank;Morgan Freeman;Jay Baruchel;Mike Colter;Lucia Rijker;Brían F. O'Byrne;Anthony Mackie;Margo Martindale;Riki Lindhome;Michael Peña;Benito Martinez;Bruce MacVittie;David Powledge;Joe D'Angerio"
200,Andrei Rublev ,,December 1969,8.2,AndreiTarkovsky,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev;Irina Tarkovskaya;Nikolay Burlyaev;Yuriy Nazarov;Yuriy Nikulin;Rolan Bykov;Nikolay Grabbe;Mikhail Kononov;Stepan Krylov;Bolot Beyshenaliev;B. Matysik;Anatoliy Obukhov,,165.0,, 8.2 AndreiTarkovsky Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev;Irina Tarkovskaya;Nikolay Burlyaev;Yuriy Nazarov;Yuriy Nikulin;Rolan Bykov;Nikolay Grabbe;Mikhail Kononov;Stepan Krylov;Bolot Beyshenaliev;B. Matysik;Anatoliy Obukhov
201,Rush ,"Action; 
Biography; 
Drama",27 September 2013,8.1,RonHoward,Chris Hemsworth;Daniel Brühl;Olivia Wilde;Alexandra Maria Lara;Pierfrancesco Favino;David Calder;Natalie Dormer;Stephen Mangan;Christian McKay;Alistair Petrie;Julian Rhind-Tutt;Colin Stinton;Jamie de Courcey;Augusto Dallara;Ilario Calvo,38000000.0,123.0,90247624.0,"Action; 
Biography; 
Drama 8.1 RonHoward Chris Hemsworth;Daniel Brühl;Olivia Wilde;Alexandra Maria Lara;Pierfrancesco Favino;David Calder;Natalie Dormer;Stephen Mangan;Christian McKay;Alistair Petrie;Julian Rhind-Tutt;Colin Stinton;Jamie de Courcey;Augusto Dallara;Ilario Calvo"
202,La passion de Jeanne d'Arc ,,25 October 1928,8.2,CarlTheodorDreyer,Maria Falconetti;Eugene Silvain;André Berley;Maurice Schutz;Antonin Artaud;Michel Simon;Jean d'Yd;Louis Ravet;Armand Lurville;Jacques Arnna;Alexandre Mihalesco;Léon Larive,,110.0,, 8.2 CarlTheodorDreyer Maria Falconetti;Eugene Silvain;André Berley;Maurice Schutz;Antonin Artaud;Michel Simon;Jean d'Yd;Louis Ravet;Armand Lurville;Jacques Arnna;Alexandre Mihalesco;Léon Larive
203,Le salaire de la peur ,"Adventure; 
Drama; 
Thriller",22 April 1953,8.1,Henri-GeorgesClouzot,Yves Montand;Charles Vanel;Folco Lulli;Peter van Eyck;Véra Clouzot;William Tubbs;Darío Moreno;Jo Dest;Antonio Centa;Luis De Lima;Grégoire Gromoff;Joseph Palau-Fabre;Faustini;Seguna;Darling Légitimus,,131.0,,"Adventure; 
Drama; 
Thriller 8.1 Henri-GeorgesClouzot Yves Montand;Charles Vanel;Folco Lulli;Peter van Eyck;Véra Clouzot;William Tubbs;Darío Moreno;Jo Dest;Antonio Centa;Luis De Lima;Grégoire Gromoff;Joseph Palau-Fabre;Faustini;Seguna;Darling Légitimus"
204,Before Sunrise ,"Drama; 
Romance",27 January 1995,8.1,RichardLinklater,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger;Tex Rubinowitz;Erni Mangold;Dominik Castell;Haymon Maria Buttinger;Harald Waiglein;Bilge Jeschim;Kurti;Hans Weingartner;Liese Lyon;Peter Ily Huemer,2500000.0,101.0,17200000.0,"Drama; 
Romance 8.1 RichardLinklater Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger;Tex Rubinowitz;Erni Mangold;Dominik Castell;Haymon Maria Buttinger;Harald Waiglein;Bilge Jeschim;Kurti;Hans Weingartner;Liese Lyon;Peter Ily Huemer"
205,Mad Max: Fury Road ,"Action; 
Adventure; 
Sci-Fi",15 May 2015,8.1,GeorgeMiller,Tom Hardy;Charlize Theron;Nicholas Hoult;Hugh Keays-Byrne;Josh Helman;Nathan Jones;Zoë Kravitz;Rosie Huntington-Whiteley;Riley Keough;Abbey Lee;Courtney Eaton;John Howard;Richard Carter;Iota;Angus Sampson,,120.0,,"Action; 
Adventure; 
Sci-Fi 8.1 GeorgeMiller Tom Hardy;Charlize Theron;Nicholas Hoult;Hugh Keays-Byrne;Josh Helman;Nathan Jones;Zoë Kravitz;Rosie Huntington-Whiteley;Riley Keough;Abbey Lee;Courtney Eaton;John Howard;Richard Carter;Iota;Angus Sampson"
206,Les quatre cents coups ,"Crime; 
Drama",3 June 1959,8.1,FrançoisTruffaut,Jean-Pierre Léaud;Claire Maurier;Albert Rémy;Guy Decomble;Georges Flamant;Patrick Auffay;Daniel Couturier;François Nocher;Richard Kanayan;Renaud Fontanarosa;Michel Girard;Serge Moati;Bernard Abbou;Jean-François Bergouignan;Michel Lesignor,,99.0,,"Crime; 
Drama 8.1 FrançoisTruffaut Jean-Pierre Léaud;Claire Maurier;Albert Rémy;Guy Decomble;Georges Flamant;Patrick Auffay;Daniel Couturier;François Nocher;Richard Kanayan;Renaud Fontanarosa;Michel Girard;Serge Moati;Bernard Abbou;Jean-François Bergouignan;Michel Lesignor"
207,Prisoners ,"Crime; 
Drama; 
Mystery",20 September 2013,8.1,DenisVilleneuve,Hugh Jackman;Jake Gyllenhaal;Viola Davis;Maria Bello;Terrence Howard;Melissa Leo;Paul Dano;Dylan Minnette;Zoë Soul;Erin Gerasimovich;Kyla-Drew;Wayne Duvall;Len Cariou;David Dastmalchian;Brad James,46000000.0,153.0,122126687.0,"Crime; 
Drama; 
Mystery 8.1 DenisVilleneuve Hugh Jackman;Jake Gyllenhaal;Viola Davis;Maria Bello;Terrence Howard;Melissa Leo;Paul Dano;Dylan Minnette;Zoë Soul;Erin Gerasimovich;Kyla-Drew;Wayne Duvall;Len Cariou;David Dastmalchian;Brad James"
208,Hachi: A Dog's Tale ,"Drama; 
Family",12 March 2010,8.1,LasseHallström,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa;Sarah Roemer;Jason Alexander;Erick Avari;Davenia McFadden;Robbie Sublett;Kevin DeCoste;Rob Degnan;Tora Hallström;Donna Sorbello;Frank S. Aronson;Troy Doherty;Ian Sherman,16000000.0,93.0,47707417.0,"Drama; 
Family 8.1 LasseHallström Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa;Sarah Roemer;Jason Alexander;Erick Avari;Davenia McFadden;Robbie Sublett;Kevin DeCoste;Rob Degnan;Tora Hallström;Donna Sorbello;Frank S. Aronson;Troy Doherty;Ian Sherman"
