,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
90,Toy Story ,G,,22 November 1995,8.3,John Lasseter,Tom Hanks;Tim Allen;Don Rickles;Jim Varney;Wallace Shawn;John Ratzenberger;Annie Potts;John Morris;Erik von Detten;Laurie Metcalf;R. Lee Ermey;Sarah Freeman;Penn Jillette;Jack Angel;Spencer Aste,30000000,81,373554033
91,Double Indemnity ,,"Crime; 
Drama; 
Film-Noir",6 July 1944,8.3,Billy Wilder,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson;Porter Hall;Jean Heather;Tom Powers;Byron Barr;Richard Gaines;Fortunio Bonanova;John Philliber,927262,107,
92,Taxi Driver ,,"Crime; 
Drama",8 February 1976,8.3,Martin Scorsese,Diahnne Abbott;Frank Adu;Victor Argo;Gino Ardito;Garth Avery;Peter Boyle;Albert Brooks;Harry Cohn;Copper Cunningham;Robert De Niro;Brenda Dickson;Harry Fischler;Jodie Foster;Nat Grant;Leonard Harris,1300000,114,
93,Singin' in the Rain ,G,"Comedy; 
Musical; 
Romance",11 April 1952,8.3,,Gene Kelly;Donald O'Connor;Debbie Reynolds;Jean Hagen;Millard Mitchell;Cyd Charisse;Douglas Fowley;Rita Moreno,2540800,103,13979088
94,Inglourious Basterds ,,"Adventure; 
Drama; 
War",21 August 2009,8.3,,Brad Pitt;Mélanie Laurent;Christoph Waltz;Eli Roth;Michael Fassbender;Diane Kruger;Daniel Brühl;Til Schweiger;Gedeon Burkhard;Jacky Ido;B.J. Novak;Omar Doom;August Diehl;Denis Ménochet;Sylvester Groth,75000000,153,313600000
95,Full Metal Jacket ,R,"Drama; 
War",10 July 1987,8.3,Stanley Kubrick,Matthew Modine;Adam Baldwin;Vincent D'Onofrio;R. Lee Ermey;Dorian Harewood;Kevyn Major Howard;Arliss Howard;Ed O'Ross;John Terry;Kieron Jecchinis;Kirk Taylor;Tim Colceri;Jon Stafford;Bruce Boa;Ian Tyler,30000000,116,
96,To Kill a Mockingbird ,PG,"Crime; 
Drama",16 March 1963,8.3,Robert Mulligan,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy;Ruth White;Brock Peters;Estelle Evans;Paul Fix;Collin Wilcox Paxton;James Anderson;Alice Ghostley;Robert Duvall;William Windom;Crahan Denton;Richard Hale,2000000,129,
97,Ladri di biciclette ,,Drama,24 November 1948,8.3,Vittorio De Sica,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri;Gino Saltamerenda;Giulio Chiari;Vittorio Antonucci;Michele Sakara;Fausto Guerzoni;Emma Druetti;Carlo Jachino,133000,89,
98,The Kid ,,"Comedy; 
Drama; 
Family",6 February 1921,8.3,Charles Chaplin,Carl Miller;Edna Purviance;Jackie Coogan;Charles Chaplin,250000,68,
99,The Sting ,PG,"Comedy; 
Crime; 
Drama",25 December 1973,8.3,George Roy Hill,Paul Newman;Robert Redford;Robert Shaw;Charles Durning;Ray Walston;Eileen Brennan;Harold Gould;John Heffernan;Dana Elcar;Jack Kehoe;Dimitra Arliss;Robert Earl Jones;James Sloyan;Charles Dierkop;Lee Paul,5500000,129,
100,Good Will Hunting ,,"Drama; 
Romance",9 January 1998,8.3,Gus Van Sant,Matt Damon;Ben Affleck;Stellan Skarsgård;John Mighton;Rachel Majorowski;Colleen McCauley;Casey Affleck;Cole Hauser;Matt Mercier;Ralph St. George;Rob Lynds;Dan Washington;Alison Folland;Derrick Bridgeman;Vik Sahay,10000000,126,225933435
101,Toy Story 3 ,G,,18 June 2010,8.3,Lee Unkrich,Tom Hanks;Tim Allen;Joan Cusack;Ned Beatty;Don Rickles;Michael Keaton;Wallace Shawn;John Ratzenberger;Estelle Harris;John Morris;Jodi Benson;Emily Hahn;Laurie Metcalf;Blake Clark;Teddy Newton,200000000,103,1063171911
102,Jagten ,R,Drama,10 January 2013,8.3,Thomas Vinterberg,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp;Lasse Fogelstrøm;Susse Wold;Anne Louise Hassing;Lars Ranthe;Alexandra Rapaport;Sebastian Bull Sarning;Steen Ordell Guldbrand Jensen;Daniel Engstrup;Troels Thorsen;Søren Rønholt;Hana Shuan;Jytte Kvinesdal,3800000,115,18309793
103,Snatch ,,"Comedy; 
Crime",1 September 2000,8.3,Guy Ritchie,Benicio Del Toro;Dennis Farina;Vinnie Jones;Brad Pitt;Rade Serbedzija;Jason Statham;Alan Ford;Mike Reid;Robbie Gee;Lennie James;Ewen Bremner;Jason Flemyng;Ade;William Beck;Andy Beckwith,,104,83557872
104,Scarface ,,"Crime; 
Drama",9 December 1983,8.3,Brian De Palma,Al Pacino;Steven Bauer;Michelle Pfeiffer;Mary Elizabeth Mastrantonio;Robert Loggia;Miriam Colon;F. Murray Abraham;Paul Shenar;Harris Yulin;Ángel Salazar;Arnaldo Santana;Pepe Serna;Michael P. Moran;Al Israel;Dennis Holahan,25000000,170,65884703
105,Monty Python and the Holy Grail ,PG,"Adventure; 
Comedy; 
Fantasy",27 June 1975,8.3,,Graham Chapman;John Cleese;Eric Idle;Terry Gilliam;Terry Jones;Michael Palin;Connie Booth;Carol Cleveland;Neil Innes;Bee Duffell;John Young;Rita Davies;Avril Stewart;Sally Kinghorn;Mark Zycon,,91,5028948
106,Per qualche dollaro in più ,,,25 March 1966,8.3,Sergio Leone,Clint Eastwood;Lee Van Cleef;Gian Maria Volontè;Mario Brega;Luigi Pistilli;Aldo Sambrell;Klaus Kinski;Benito Stefanelli;Luis Rodríguez;Panos Papadopulos;Mara Krupp;Roberto Camardiel;Joseph Egger;Tomás Blanco;Lorenzo Robledo,600000,132,
107,L.A. Confidential ,,"Crime; 
Drama; 
Mystery",19 September 1997,8.3,Curtis Hanson,Kevin Spacey;Russell Crowe;Guy Pearce;James Cromwell;Kim Basinger;Danny DeVito;David Strathairn;Ron Rifkin;Matt McCoy;Paul Guilfoyle;Paolo Seganti;Elisabeth Granli;Sandra Taylor;Steve Rankin;Graham Beckel,35000000,138,126216940
108,The Apartment ,PG,"Comedy; 
Drama; 
Romance",16 September 1960,8.3,Billy Wilder,Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston;Jack Kruschen;David Lewis;Hope Holiday;Joan Shawlee;Naomi Stevens;Johnny Seven;Joyce Jameson;Willard Waterman;David White;Edie Adams,3000000,125,25000000
109,Metropolis ,G,"Drama; 
Sci-Fi",5 March 1927,8.3,Fritz Lang,Alfred Abel;Gustav Fröhlich;Rudolf Klein-Rogge;Fritz Rasp;Theodor Loos;Erwin Biswanger;Heinrich George;Brigitte Helm,,153,
110,Jodaeiye Nader az Simin ,PG-13,Drama,16 March 2011,8.3,Asghar Farhadi,Payman Maadi;Leila Hatami;Sareh Bayat;Shahab Hosseini;Sarina Farhadi;Merila Zare'i;Ali-Asghar Shahbazi;Babak Karimi;Kimia Hosseini;Shirin Yazdanbakhsh;Sohibanoo Zolqadr;Mohammadhasan Asghari;Shirin Azimiyannezhad;Hamid Dadju;Mohammad Ebrahimian,500000,123,24426169
111,Indiana Jones and the Last Crusade ,PG,"Action; 
Adventure; 
Fantasy",24 May 1989,8.2,Steven Spielberg,Harrison Ford;Sean Connery;Denholm Elliott;Alison Doody;John Rhys-Davies;Julian Glover;River Phoenix;Michael Byrne;Kevork Malikyan;Robert Eddison;Richard Young;Alexei Sayle;Alex Hyde-White;Paul Maxwell;Isla Blair,48000000,127,474171806
112,Rashômon ,G,"Crime; 
Drama; 
Mystery",26 August 1950,8.3,Akira Kurosawa,Toshirô Mifune;Machiko Kyô;Masayuki Mori;Takashi Shimura;Minoru Chiaki;Kichijirô Ueda;Noriko Honma;Daisuke Katô,250000,88,
113,Up ,G,,29 May 2009,8.3,,Edward Asner;Christopher Plummer;Jordan Nagai;Bob Peterson;Delroy Lindo;Jerome Ranft;John Ratzenberger;David Kaye;Elie Docter;Jeremy Leary;Mickie McGowan;Danny Mann;Donald Fullilove;Jess Harnell;Josh Cooley,175000000,96,731342744
114,All About Eve ,PG,Drama,27 October 1950,8.3,Joseph L. Mankiewicz,Bette Davis;Anne Baxter;George Sanders;Celeste Holm;Gary Merrill;Hugh Marlowe;Gregory Ratoff;Barbara Bates;Marilyn Monroe;Thelma Ritter;Walter Hampden;Randy Stuart;Craig Hill;Leland Harris;Barbara White,1400000,138,
115,Batman Begins ,PG,"Action; 
Adventure; 
Thriller",15 June 2005,8.3,Christopher Nolan,Christian Bale;Michael Caine;Liam Neeson;Katie Holmes;Gary Oldman;Cillian Murphy;Tom Wilkinson;Rutger Hauer;Ken Watanabe;Mark Boone Junior;Linus Roache;Morgan Freeman;Larry Holden;Gerard Murphy;Colin McFarlane,150000000,140,374218673
116,Yôjinbô ,,"Action; 
Drama; 
Thriller",25 April 1961,8.3,Akira Kurosawa,Toshirô Mifune;Tatsuya Nakadai;Yôko Tsukasa;Isuzu Yamada;Daisuke Katô;Seizaburô Kawazu;Takashi Shimura;Hiroshi Tachikawa;Yôsuke Natsuki;Eijirô Tôno;Kamatari Fujiwara;Ikio Sawamura;Atsushi Watanabe;Susumu Fujita;Kyû Sazanka,,110,
117,Some Like It Hot ,PG,"Comedy; 
Romance",14 April 1959,8.2,Billy Wilder,Marilyn Monroe;Tony Curtis;Jack Lemmon;George Raft;Pat O'Brien;Joe E. Brown;Nehemiah Persoff;Joan Shawlee;Billy Gray;George E. Stone;Dave Barry;Mike Mazurki;Harry Wilson;Beverly Wills;Barbara Drew,2883848,121,
118,Unforgiven ,,"Drama; 
Western",7 August 1992,8.2,Clint Eastwood,Clint Eastwood;Gene Hackman;Morgan Freeman;Richard Harris;Jaimz Woolvett;Saul Rubinek;Frances Fisher;Anna Levine;David Mucci;Rob Campbell;Anthony James;Tara Frederick;Beverley Elliott;Liisa Repo-Martell;Josie Smith,14400000,130,159157447
119,Der Untergang ,,,16 September 2004,8.2,Oliver Hirschbiegel,Bruno Ganz;Alexandra Maria Lara;Corinna Harfouch;Ulrich Matthes;Juliane Köhler;Heino Ferch;Christian Berkel;Matthias Habich;Thomas Kretschmann;Michael Mendl;André Hennicke;Ulrich Noethen;Birgit Minichmayr;Rolf Kanies;Justus von Dohnányi,,156,92180910
120,Die Hard ,R,"Action; 
Thriller",20 July 1988,8.2,John McTiernan,Bruce Willis;Bonnie Bedelia;Reginald VelJohnson;Paul Gleason;William Atherton;Hart Bochner;James Shigeta;Alan Rickman;Alexander Godunov;Bruno Doyon;De'voreaux White;Andreas Wisniewski;Clarence Gilyard Jr.;Joey Plewa;Lorenzo Caccialanza,28000000,132,140767956
121,The Treasure of the Sierra Madre ,PG,"Adventure; 
Drama; 
Western",24 January 1948,8.2,John Huston,Humphrey Bogart;Walter Huston;Tim Holt;Bruce Bennett;Barton MacLane;Alfonso Bedoya;Arturo Soto Rangel;Manuel Dondé;José Torvay;Margarito Luna,3000000,126,
122,Heat ,,"Crime; 
Drama; 
Thriller",15 December 1995,8.2,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer;Jon Voight;Tom Sizemore;Diane Venora;Amy Brenneman;Ashley Judd;Mykelti Williamson;Wes Studi;Ted Levine;Dennis Haysbert;William Fichtner;Natalie Portman;Tom Noonan,60000000,170,107000000
123,Ikiru ,,Drama,9 October 1952,8.3,Akira Kurosawa,Takashi Shimura;Shin'ichi Himori;Haruo Tanaka;Minoru Chiaki;Miki Odagiri;Bokuzen Hidari;Minosuke Yamada;Kamatari Fujiwara;Makoto Kobori;Nobuo Kaneko;Nobuo Nakamura;Atsushi Watanabe;Isao Kimura;Masao Shimizu;Yûnosuke Itô,,143,
124,Incendies ,,"Drama; 
Mystery; 
War",12 January 2011,8.2,Denis Villeneuve,Mustafa Kamel;Hussein Sami;Rémy Girard;Mélissa Désormeaux-Poulin;Maxim Gaudette;Dominique Briand;Lubna Azabal;Frédéric Paquet;Hamed Najem;Ahmad Massad;Bader Alami;Majida Hussein;Asriah Nijres;John Dunn-Hill;Nadia Essadiqi,6800000,131,12597210
125,Raging Bull ,,,19 December 1980,8.2,Martin Scorsese,Robert De Niro;Cathy Moriarty;Joe Pesci;Frank Vincent;Nicholas Colasanto;Theresa Saldana;Mario Gallo;Frank Adonis;Joseph Bono;Frank Topham;Lori Anne Flax;Charles Scorsese;Don Dunphy;Bill Hanrahan;Rita Bennett,18000000,129,
126,The Great Escape ,PG,"Adventure; 
Drama; 
History",4 July 1963,8.2,John Sturges,Steve McQueen;James Garner;Richard Attenborough;James Donald;Charles Bronson;Donald Pleasence;James Coburn;Hannes Messemer;David McCallum;Gordon Jackson;John Leyton;Angus Lennie;Nigel Stock;Robert Graf;Jud Taylor,4000000,172,
127,Bacheha-Ye aseman ,PG,"Drama; 
Family",1997,8.3,Majid Majidi,Mohammad Amir Naji;Amir Farrokh Hashemian;Bahare Seddiqi;Nafise Jafar-Mohammadi;Fereshte Sarabandi;Kamal Mirkarimi;Behzad Rafi;Dariush Mokhtari;Mohammad-Hasan Hosseinian;Masume Dair;Kambiz Peykarnegar;Hasan Roohparvari;Abbas-Ali Roomandi;Jafar Seyfollahi;Qolamreza Maleki,180000,89,
128,Pan's Labyrinth ,,"Drama; 
Fantasy; 
War",19 January 2007,8.2,Guillermo del Toro,Ivana Baquero;Sergi López;Maribel Verdú;Doug Jones;Ariadna Gil;Álex Angulo;Manolo Solo;César Vea;Roger Casamajor;Ivan Massagué;Gonzalo Uriarte;Eusebio Lázaro;Francisco Vidal;Juanjo Cucalón;Lina Mira,,118,87041569
129,Babam ve Oglum ,,"Drama; 
Family",18 November 2005,8.4,Çagan Irmak,Çetin Tekindor;Fikret Kuskan;Hümeyra;Ege Tanman;Serif Sezer;Yetkin Dikinciler;Binnur Kaya;Mahmut Gökgöz;Nergis Çorakçi;Bilge Sen;Tuba Büyüküstün;Özge Özberk;Erdal Tosun;Halit Ergenç;Tugyan Akay Kavukçu,,113,
130,Chinatown ,,"Drama; 
Mystery; 
Thriller",20 June 1974,8.2,Roman Polanski,Jack Nicholson;Faye Dunaway;John Huston;Perry Lopez;John Hillerman;Darrell Zwerling;Diane Ladd;Roy Jenson;Roman Polanski;Richard Bakalyan;Joe Mantell;Bruce Glover;Nandu Hinds;James O'Rear;James Hong,6000000,130,30000000
131,The Third Man ,,,12 October 1949,8.2,Carol Reed,Joseph Cotten;Alida Valli;Orson Welles;Trevor Howard;Bernard Lee;Paul Hörbiger;Ernst Deutsch;Siegfried Breuer;Erich Ponto;Wilfrid Hyde-White;Hedwig Bleibtreu,,104,
132,Bohemian Rhapsody ,PG,,2 November 2018,8.3,Bryan Singer,Rami Malek;Lucy Boynton;Gwilym Lee;Ben Hardy;Joseph Mazzello;Aidan Gillen;Allen Leech;Tom Hollander;Mike Myers;Aaron McCusker;Meneka Das;Ace Bhatti;Priya Blackburn;Dermot Murphy;Dickie Beau,52000000,134,433000000
133,Tonari no Totoro ,G,,16 April 1988,8.2,Hayao Miyazaki,Noriko Hidaka;Chika Sakamoto;Shigesato Itoi;Sumi Shimamoto;Tanie Kitabayashi;Hitoshi Takagi;Yûko Maruyama;Machiko Washio;Reiko Suzuki;Masashi Hirose;Toshiyuki Amagasa;Shigeru Chiba;Naoki Tatsuta;Tarako;Tomohiro Nishimura,3700000,86,
134,Hauru no ugoku shiro ,PG,,17 June 2005,8.2,Hayao Miyazaki,Chieko Baishô;Takuya Kimura;Akihiro Miwa;Tatsuya Gashûin;Ryûnosuke Kamiki;Mitsunori Isaki;Yô Ôizumi;Akio Ôtsuka;Daijirô Harada;Haruko Katô;Jean Simmons;Christian Bale;Lauren Bacall;Blythe Danner;Emily Mortimer,24000000,119,235184110
135,Ran ,,"Action; 
Drama",1 June 1985,8.2,Akira Kurosawa,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû;Mieko Harada;Yoshiko Miyazaki;Hisashi Igawa;Pîtâ;Masayuki Yui;Kazuo Katô;Norio Matsui;Toshiya Ito;Kenji Kodama;Takashi Watanabe;Mansai Nomura,11500000,162,
136,Judgment at Nuremberg ,,"Drama; 
War",18 December 1961,8.2,Stanley Kramer,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich;Maximilian Schell;Judy Garland;Montgomery Clift;William Shatner;Werner Klemperer;Kenneth MacKenna;Torben Meyer;Joseph Bernard;Alan Baxter;Edward Binns;Virginia Christine,3000000,186,10000000
137,El secreto de sus ojos ,,"Drama; 
Mystery; 
Romance",13 August 2009,8.2,Juan José Campanella,Soledad Villamil;Ricardo Darín;Carla Quevedo;Pablo Rago;Javier Godino;Bárbara Palladino;Rudy Romano;Alejandro Abelenda;Mario Alarcón;Guillermo Francella;Sebastián Blanco;Mariano Argento;José Luis Gioia;Juan José Ortíz;Kiko Cerone,2000000,129,33965843
138,The Gold Rush ,,"Adventure; 
Comedy; 
Drama",1925,8.2,Charles Chaplin,Charles Chaplin;Mack Swain;Tom Murray;Henry Bergman;Malcolm Waite;Georgia Hale,923000,95,
139,The Bridge on the River Kwai ,PG,"Adventure; 
Drama; 
War",11 October 1957,8.2,David Lean,William Holden;Alec Guinness;Jack Hawkins;Sessue Hayakawa;James Donald;Geoffrey Horne;André Morell;Peter Williams;John Boxer;Percy Herbert;Harold Goodwin;Ann Sears;Heihachirô Ôkawa;Keiichirô Katsumoto;M.R.B. Chakrabandhu,3000000,161,
140,A Beautiful Mind ,PG,,4 January 2002,8.2,Ron Howard,Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer;Paul Bettany;Adam Goldberg;Josh Lucas;Anthony Rapp;Jason Gray-Stanford;Judd Hirsch;Austin Pendleton;Vivien Cardone;Jillie Simon;Victor Steinbach;Tanya Clarke,58000000,135,313542341
141,"Lock, Stock and Two Smoking Barrels ",,"Comedy; 
Crime",28 August 1998,8.2,Guy Ritchie,Jason Flemyng;Dexter Fletcher;Nick Moran;Jason Statham;Steven Mackintosh;Nicholas Rowe;Nick Marcq;Charles Forbes;Vinnie Jones;Lenny McLean;Peter McNicholl;P.H. Moriarty;Frank Harper;Steve Sweeney;Huggy Leaver,,107,28356188
142,Casino ,,"Crime; 
Drama",22 November 1995,8.2,Martin Scorsese,Robert De Niro;Sharon Stone;Joe Pesci;James Woods;Don Rickles;Alan King;Kevin Pollak;L.Q. Jones;Dick Smothers;Frank Vincent;John Bloom;Pasquale Cajano;Melissa Prophet;Bill Allison;Vinny Vella,,178,
143,"Three Billboards Outside Ebbing, Missouri ",,"Comedy; 
Crime; 
Drama",1 December 2017,8.2,Martin McDonagh,Frances McDormand;Caleb Landry Jones;Kerry Condon;Sam Rockwell;Alejandro Barrios;Jason Ledford;Darrell Britt-Gibson;Woody Harrelson;Abbie Cornish;Riya May Atwood;Selah Atwood;Lucas Hedges;Zeljko Ivanek;Amanda Warren;Malaya Rivera Drew,15000000,115,157880842
144,On the Waterfront ,PG,"Crime; 
Drama; 
Thriller",22 June 1954,8.2,Elia Kazan,Marlon Brando;Karl Malden;Lee J. Cobb;Rod Steiger;Pat Henning;Leif Erickson;James Westerfield;Tony Galento;Tami Mauriello;John F. Hamilton;John Heldabrand;Rudy Bond;Don Blackman;Arthur Keegan;Abe Simon,910000,108,
145,Det sjunde inseglet ,,"Drama; 
Fantasy",16 February 1957,8.2,Ingmar Bergman,Gunnar Björnstrand;Bengt Ekerot;Nils Poppe;Max von Sydow;Bibi Andersson;Inga Gill;Maud Hansson;Inga Landgré;Gunnel Lindblom;Bertil Anderberg;Anders Ek;Åke Fridell;Gunnar Olsson;Erik Strandmark,150000,96,
146,Inside Out ,G,,19 June 2015,8.2,,Amy Poehler;Phyllis Smith;Richard Kind;Bill Hader;Lewis Black;Mindy Kaling;Kaitlyn Dias;Diane Lane;Kyle MacLachlan;Paula Poundstone;Bobby Moynihan;Paula Pell;Dave Goelz;Frank Oz;Josh Cooley,175000000,95,857611174
147,The Elephant Man ,,,10 October 1980,8.2,David Lynch,Anthony Hopkins;John Hurt;Anne Bancroft;John Gielgud;Wendy Hiller;Freddie Jones;Michael Elphick;Hannah Gordon;Helen Ryan;John Standing;Dexter Fletcher;Lesley Dunlop;Phoebe Nicholls;Pat Gorman;Claire Davenport,5000000,124,
148,Room ,PG,"Drama; 
Thriller",15 January 2016,8.2,Lenny Abrahamson,Brie Larson;Jacob Tremblay;Sean Bridgers;Wendy Crewson;Sandy McMaster;Matt Gordon;Amanda Brugel;Joe Pingue;Joan Allen;Zarrin Darnell-Martin;Cas Anvar;William H. Macy;Jee-Yun Lee;Randal Edwards;Justin Mader,13000000,118,36262783
149,The Wolf of Wall Street ,,,25 December 2013,8.2,Martin Scorsese,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey;Kyle Chandler;Rob Reiner;Jon Bernthal;Jon Favreau;Jean Dujardin;Joanna Lumley;Cristin Milioti;Christine Ebersole;Shea Whigham;Katarina Cas;P.J. Byrne,100000000,180,392000694
150,Mr. Smith Goes to Washington ,G,"Comedy; 
Drama",9 November 1939,8.2,Frank Capra,Jean Arthur;James Stewart;Claude Rains;Edward Arnold;Guy Kibbee;Thomas Mitchell;Eugene Pallette;Beulah Bondi;H.B. Warner;Harry Carey;Astrid Allwyn;Ruth Donnelly;Grant Mitchell;Porter Hall;H.V. Kaltenborn,1500000,129,
151,V for Vendetta ,,"Action; 
Drama; 
Sci-Fi",17 March 2006,8.2,James McTeigue,Natalie Portman;Hugo Weaving;Stephen Rea;Stephen Fry;John Hurt;Tim Pigott-Smith;Rupert Graves;Roger Allam;Ben Miles;Sinéad Cusack;Natasha Wightman;John Standing;Eddie Marsan;Clive Ashborn;Emma Field-Rayner,54000000,132,132511035
152,Warrior ,,"Drama; 
Sport",9 September 2011,8.2,Gavin O'Connor,Joel Edgerton;Tom Hardy;Nick Nolte;Jennifer Morrison;Frank Grillo;Kevin Dunn;Maximiliano Hernández;Bryan Callen;Sam Sheridan;Fernando Chien;Jake McLaughlin;Vanessa Martinez;Denzel Whitaker;Carlos Miranda;Manuel Espinosa,25000000,140,23057115
153,Blade Runner ,,"Sci-Fi; 
Thriller",25 June 1982,8.2,Ridley Scott,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos;M. Emmet Walsh;Daryl Hannah;William Sanderson;Brion James;Joe Turkel;Joanna Cassidy;James Hong;Morgan Paull;Kevin Thompson;John Edward Allen;Hy Pyke,28000000,117,
154,Dial M for Murder ,PG,"Crime; 
Thriller",29 May 1954,8.2,Alfred Hitchcock,Ray Milland;Grace Kelly;Robert Cummings;John Williams;Anthony Dawson;Leo Britt;Patrick Allen;George Leigh;George Alderson;Robin Hughes,1400000,105,13080000
155,Smultronstället ,,"Drama; 
Romance",26 December 1957,8.2,Ingmar Bergman,Victor Sjöström;Bibi Andersson;Ingrid Thulin;Gunnar Björnstrand;Jullan Kindahl;Folke Sundquist;Björn Bjelfvenstam;Naima Wifstrand;Gunnel Broström;Gertrud Fridh;Sif Ruud;Gunnar Sjöberg;Max von Sydow;Åke Fridell;Yngve Nordwall,,91,
156,The General ,,"Action; 
Adventure; 
Comedy",24 February 1927,8.2,,Buster Keaton;Marion Mack;Glen Cavender;Jim Farley;Frederick Vroom;Charles Henry Smith;Frank Barnes;Joe Keaton;Mike Donlin;Tom Nawn,750000,67,
157,No Country for Old Men ,,"Crime; 
Drama; 
Thriller",21 November 2007,8.1,,Tommy Lee Jones;Javier Bardem;Josh Brolin;Woody Harrelson;Kelly Macdonald;Garret Dillahunt;Tess Harper;Barry Corbin;Stephen Root;Rodger Boyce;Beth Grant;Ana Reeder;Kit Gwin;Zach Hopkins;Chip Love,25000000,122,171627166
158,Trainspotting ,R,Drama,26 July 1996,8.2,Danny Boyle,Ewan McGregor;Ewen Bremner;Jonny Lee Miller;Kevin McKidd;Robert Carlyle;Kelly Macdonald;Peter Mullan;James Cosmo;Eileen Nicholas;Susan Vidler;Pauline Lynch;Shirley Henderson;Stuart McQuarrie;Irvine Welsh;Dale Winton,3500000,93,71558971
159,There Will Be Blood ,PG,Drama,25 January 2008,8.2,Paul Thomas Anderson,Daniel Day-Lewis;Martin Stringer;Matthew Braden Stringer;Jacob Stringer;Joseph Mussey;Barry Del Sherman;Harrison Taylor;Stockton Taylor;Paul F. Tompkins;Dillon Freasier;Kevin Breznahan;Jim Meskimen;Erica Sullivan;Randall Carver;Coco Leigh,25000000,158,77208711
160,The Sixth Sense ,,"Drama; 
Mystery; 
Thriller",6 August 1999,8.1,M. Night Shyamalan,Bruce Willis;Haley Joel Osment;Toni Collette;Olivia Williams;Trevor Morgan;Donnie Wahlberg;Peter Anthony Tambakis;Jeffrey Zubernis;Bruce Norris;Glenn Fitzgerald;Greg Wood;Mischa Barton;Angelica Page;Lisa Summerour;Firdous Bamji,40000000,107,672806292
161,Gone with the Wind ,G,"Drama; 
History; 
Romance",17 January 1940,8.2,,Thomas Mitchell;Barbara O'Neil;Vivien Leigh;Evelyn Keyes;Ann Rutherford;George Reeves;Fred Crane;Hattie McDaniel;Oscar Polk;Butterfly McQueen;Victor Jory;Everett Brown;Howard C. Hickman;Alicia Rhett;Leslie Howard,3977000,238,400176459
162,The Thing ,,,25 June 1982,8.1,John Carpenter,Kurt Russell;Wilford Brimley;T.K. Carter;David Clennon;Keith David;Richard Dysart;Charles Hallahan;Peter Maloney;Richard Masur;Donald Moffat;Joel Polis;Thomas G. Waites;Norbert Weisser;Larry Franco;Nate Irwin,15000000,109,
163,Fargo ,,"Crime; 
Drama; 
Thriller",5 April 1996,8.1,,William H. Macy;Steve Buscemi;Peter Stormare;Kristin Rudrüd;Harve Presnell;Tony Denman;Gary Houston;Sally Wingert;Kurt Schweickhardt;Larissa Kokernot;Melissa Peterman;Steve Reevis;Warren Keith;Steve Edelman;Sharon Anderson,7000000,98,36000000
164,Gran Torino ,,Drama,9 January 2009,8.1,Clint Eastwood,Clint Eastwood;Christopher Carley;Bee Vang;Ahney Her;Brian Haley;Geraldine Hughes;Dreama Walker;Brian Howe;John Carroll Lynch;William Hill;Brooke Chia Thao;Chee Thao;Choua Kue;Scott Eastwood;Xia Soua Chang,33000000,116,269958228
165,The Deer Hunter ,,"Drama; 
War",23 February 1979,8.1,Michael Cimino,Robert De Niro;John Cazale;John Savage;Christopher Walken;Meryl Streep;George Dzundza;Chuck Aspegren;Shirley Stoler;Rutanya Alda;Pierre Segui;Mady Kaplan;Amy Wright;Mary Ann Haenel;Richard Kuss;Joe Grifasi,15000000,183,
166,Finding Nemo ,G,,30 May 2003,8.1,,Albert Brooks;Ellen DeGeneres;Alexander Gould;Willem Dafoe;Brad Garrett;Allison Janney;Austin Pendleton;Stephen Root;Vicki Lewis;Joe Ranft;Geoffrey Rush;Andrew Stanton;Elizabeth Perkins;Nicholas Bird;Bob Peterson,94000000,100,936743261
167,Idi i smotri ,,"Drama; 
War",17 October 1985,8.2,Elem Klimov,Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas;Jüri Lumiste;Viktor Lorents;Kazimir Rabetsky;Evgeniy Tilicheev;Aleksandr Berda;G. Velts;V. Vasilyev;Igor Gnevashev;Vasiliy Domrachyov;G. Yelkin;Evgeniy Kryzhanovskiy,,142,
168,The Big Lebowski ,,"Comedy; 
Crime",6 March 1998,8.1,,Jeff Bridges;John Goodman;Julianne Moore;Steve Buscemi;David Huddleston;Philip Seymour Hoffman;Tara Reid;Philip Moon;Mark Pellegrino;Peter Stormare;Flea;Torsten Voges;Jimmie Dale Gilmore;Jack Kehler;John Turturro,15000000,117,46189568
169,Sherlock Jr. ,,"Action; 
Comedy; 
Romance",11 May 1924,8.2,Buster Keaton,Buster Keaton;Kathryn McGuire;Joe Keaton;Erwin Connelly;Ward Crane,,45,
